City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrption,Rain inches (last 3 hours),Snow inches (last 3 hours)
153,Bermejo,AR,2020-01-04 20:52:56,-22.73,-64.34,91.99,44,66,1.99,broken clouds,0.0,0.0
154,Kaka,TM,2020-01-04 20:53:50,37.35,59.62,36.66,89,3,6.04,clear sky,0.0,0.0
155,Maltahohe,NA,2020-01-04 20:53:50,-24.83,16.98,74.71,22,0,14.94,clear sky,0.0,0.0
156,Cajamarca,PE,2020-01-04 20:53:50,-7.16,-78.52,68.0,52,75,8.05,broken clouds,0.0,0.0
157,Taoudenni,ML,2020-01-04 20:53:51,22.68,-3.98,58.68,23,0,10.04,clear sky,0.0,0.0
158,Baykit,RU,2020-01-04 20:53:51,61.68,96.39,11.86,91,100,7.23,overcast clouds,0.0,0.0
159,Tocopilla,CL,2020-01-04 20:51:13,-22.09,-70.2,68.58,31,0,12.62,clear sky,0.0,0.0
160,Geraldton,CA,2020-01-04 20:50:32,49.72,-86.95,15.8,78,90,6.93,light snow,0.0,0.0
161,Escarcega,MX,2020-01-04 20:53:52,18.61,-90.75,76.1,60,99,8.23,overcast clouds,0.0,0.0
162,Tomatlan,MX,2020-01-04 20:53:52,19.93,-105.25,86.68,21,49,5.01,scattered clouds,0.0,0.0
163,Hovd,NO,2020-01-04 20:53:52,63.83,10.7,37.0,86,75,18.34,shower rain,0.0,0.0
164,Vila Franca Do Campo,PT,2020-01-04 20:53:45,37.72,-25.43,62.6,88,20,9.17,few clouds,0.0,0.0
165,Longyearbyen,NO,2020-01-04 20:53:48,78.22,15.63,5.0,65,40,6.93,scattered clouds,0.0,0.0
166,Kieta,PG,2020-01-04 20:53:53,-6.22,155.63,82.63,72,7,3.83,clear sky,0.0,0.0
167,Madimba,CM,2020-01-04 20:53:53,4.42,9.93,82.4,83,20,2.55,few clouds,0.0,0.0
168,Sampit,ID,2020-01-04 20:53:53,-2.54,112.95,75.43,97,100,1.16,overcast clouds,0.0,0.0
169,Jiayuguan,CN,2020-01-04 20:53:53,39.77,98.29,22.64,43,100,5.35,overcast clouds,0.0,0.0
170,Neuquen,AR,2020-01-04 20:53:54,-38.95,-68.06,93.2,9,20,9.17,few clouds,0.0,0.0
171,Esperance,AU,2020-01-04 20:52:18,-33.86,121.89,53.6,76,0,12.75,clear sky,0.0,0.0
172,Hofn,IS,2020-01-04 20:53:54,64.25,-15.21,45.07,74,67,37.24,broken clouds,0.0,0.0
173,Martinsburg,US,2020-01-04 20:53:54,39.46,-77.96,54.0,87,90,5.82,light rain,0.0,0.0
174,Bollnas,SE,2020-01-04 20:53:54,61.35,16.39,30.99,56,33,3.0,scattered clouds,0.0,0.0
175,Baiao,BR,2020-01-04 20:53:55,-2.79,-49.67,80.49,84,99,4.09,light rain,1.63,0.0
176,Hit,IQ,2020-01-04 20:53:55,33.64,42.83,51.26,54,0,7.29,clear sky,0.0,0.0
177,Aklavik,CA,2020-01-04 20:53:55,68.22,-135.01,-22.0,74,40,10.29,scattered clouds,0.0,0.0
178,Gunjur,GM,2020-01-04 20:53:55,13.18,-16.76,75.2,47,1,19.62,haze,0.0,0.0
179,Kruisfontein,ZA,2020-01-04 20:53:56,-34.0,24.73,68.18,96,49,3.51,scattered clouds,0.0,0.0
180,Vesyegonsk,RU,2020-01-04 20:53:56,58.67,37.27,31.32,88,92,7.63,light snow,0.0,0.13
181,Buchanan,LR,2020-01-04 20:53:56,5.88,-10.05,73.4,88,20,3.36,mist,0.0,0.0
182,Lasa,CY,2020-01-04 20:53:56,34.92,32.53,59.0,67,75,11.41,broken clouds,0.0,0.0
183,Pemberton,AU,2020-01-04 20:53:56,-34.44,116.03,57.99,71,0,3.0,clear sky,0.0,0.0
184,Port Elizabeth,US,2020-01-04 20:52:17,39.31,-74.98,59.0,87,90,4.7,overcast clouds,0.0,0.0
185,Sao Felix Do Xingu,BR,2020-01-04 20:53:57,-6.64,-51.99,79.79,82,86,2.66,overcast clouds,0.0,0.0
186,Dikson,RU,2020-01-04 20:53:42,73.51,80.55,0.25,82,100,22.15,overcast clouds,0.0,0.0
187,Brae,GB,2020-01-04 20:53:57,60.4,-1.35,44.6,93,100,23.04,light intensity drizzle,0.0,0.0
188,Ixtapa,MX,2020-01-04 20:53:57,20.71,-105.21,78.01,50,75,5.82,broken clouds,0.0,0.0
189,Juneau,US,2020-01-04 20:53:57,58.3,-134.42,30.2,74,90,6.93,light snow,0.0,0.0
190,Khorinsk,RU,2020-01-04 20:53:58,52.16,109.78,-0.44,90,92,0.69,overcast clouds,0.0,0.0
191,Tiksi,RU,2020-01-04 20:49:52,71.64,128.87,-16.85,86,77,7.58,broken clouds,0.0,0.0
192,Ames,US,2020-01-04 20:50:32,42.03,-93.62,32.0,74,40,6.93,light rain,0.0,0.0
193,Fuyu,CN,2020-01-04 20:53:58,47.79,124.46,3.34,83,28,5.44,scattered clouds,0.0,0.0
194,Luderitz,NA,2020-01-04 20:51:15,-26.65,15.16,62.53,87,0,25.5,clear sky,0.0,0.0
195,Chumikan,RU,2020-01-04 20:52:00,54.72,135.31,-7.35,76,18,8.39,few clouds,0.0,0.0
196,Fort Nelson,CA,2020-01-04 20:53:59,58.81,-122.69,-5.8,70,75,8.05,broken clouds,0.0,0.0
197,Tual,ID,2020-01-04 20:51:53,-5.67,132.75,82.65,79,100,18.99,light rain,2.44,0.0
